Price,Close,High,Low,Open,Volume
Ticker,GP,GP,GP,GP,GP
Date,,,,,
2024-09-20,1.2300000190734863,1.3899999856948853,1.1200000047683716,1.350000023841858,227500
2024-09-23,1.2000000476837158,1.2619999647140503,1.1619999408721924,1.2100000381469727,114800
2024-09-24,1.4900000095367432,1.590000033378601,1.25,1.3700000047683716,618700
2024-09-25,1.6100000143051147,1.6399999856948853,1.4500000476837158,1.5399999618530273,372400
2024-09-26,1.4600000381469727,1.600000023841858,1.3200000524520874,1.4199999570846558,439300
2024-09-27,1.4500000476837158,1.5299999713897705,1.4299999475479126,1.4900000095367432,77600
2024-09-30,1.3700000047683716,1.4500000476837158,1.3600000143051147,1.4299999475479126,64900
2024-10-01,1.3700000047683716,1.399999976158142,1.3200000524520874,1.3700000047683716,91500
2024-10-02,1.3200000524520874,1.399999976158142,1.309999942779541,1.350000023841858,37400
2024-10-03,1.2999999523162842,1.3899999856948853,1.2699999809265137,1.3700000047683716,97400
2024-10-04,1.3700000047683716,1.399999976158142,1.2899999618530273,1.3600000143051147,73300
2024-10-07,1.3200000524520874,1.3899999856948853,1.2999999523162842,1.3700000047683716,83600
2024-10-08,1.2799999713897705,1.340000033378601,1.1950000524520874,1.340000033378601,140900
2024-10-09,1.2899999618530273,1.2999999523162842,1.190000057220459,1.2799999713897705,80600
2024-10-10,1.2899999618530273,1.350000023841858,1.2300000190734863,1.309999942779541,25900
2024-10-11,1.25,1.309999942779541,1.2200000286102295,1.25,39600
2024-10-14,1.2400000095367432,1.2799999713897705,1.2000000476837158,1.2300000190734863,45100
2024-10-15,1.2899999618530273,1.2899999618530273,1.2000000476837158,1.2599999904632568,67800
2024-10-16,1.2699999809265137,1.2799999713897705,1.2000000476837158,1.2400000095367432,73200
2024-10-17,1.25,1.2999999523162842,1.2200000286102295,1.2699999809265137,41400
2024-10-18,1.2799999713897705,1.2899999618530273,1.2200000286102295,1.2200000286102295,51500
2024-10-21,1.2000000476837158,1.2699999809265137,1.1699999570846558,1.2300000190734863,145200
2024-10-22,1.2000000476837158,1.2300000190734863,1.159999966621399,1.2000000476837158,34200
2024-10-23,1.1799999475479126,1.2400000095367432,1.1399999856948853,1.2400000095367432,68000
2024-10-24,1.3450000286102295,1.350000023841858,1.1699999570846558,1.2200000286102295,319600
2024-10-25,1.4700000286102295,1.850000023841858,1.3600000143051147,1.399999976158142,2563900
2024-10-28,1.2050000429153442,1.4119999408721924,1.2000000476837158,1.399999976158142,1065100
2024-10-29,1.0099999904632568,1.0700000524520874,0.9520000219345093,1.0,2117600
2024-10-30,1.0099999904632568,1.0499999523162842,0.9890000224113464,1.0199999809265137,350900
2024-10-31,0.9800000190734863,1.0499999523162842,0.9599999785423279,1.0,282200
2024-11-01,0.9610000252723694,0.9900000095367432,0.9610000252723694,0.9900000095367432,150100
2024-11-04,0.9480000138282776,0.9900000095367432,0.9300000071525574,0.9300000071525574,180400
2024-11-05,0.9399999976158142,0.9599999785423279,0.9200000166893005,0.9520000219345093,101200
2024-11-06,0.8500000238418579,0.9300000071525574,0.8399999737739563,0.8999999761581421,645700
2024-11-07,0.8600000143051147,0.8830000162124634,0.8420000076293945,0.8500000238418579,246100
2024-11-08,0.8880000114440918,0.8949999809265137,0.8500000238418579,0.8790000081062317,258200
2024-11-11,0.925000011920929,0.9399999976158142,0.8799999952316284,0.8899999856948853,243300
2024-11-12,0.8999999761581421,0.9599999785423279,0.8899999856948853,0.9300000071525574,118400
2024-11-13,0.8899999856948853,0.9100000262260437,0.8500000238418579,0.8899999856948853,222500
2024-11-14,0.8230000138282776,0.8799999952316284,0.8209999799728394,0.8709999918937683,192500
2024-11-15,0.7879999876022339,0.8500000238418579,0.7749999761581421,0.8100000023841858,379700
2024-11-18,0.8169999718666077,0.8199999928474426,0.800000011920929,0.8090000152587891,64400
2024-11-19,0.8149999976158142,0.8199999928474426,0.7850000262260437,0.800000011920929,198700
2024-11-20,0.7850000262260437,0.8159999847412109,0.7839999794960022,0.8100000023841858,92800
2024-11-21,0.8180000185966492,0.8199999928474426,0.800000011920929,0.8100000023841858,56100
2024-11-22,0.8349999785423279,0.8500000238418579,0.8019999861717224,0.8019999861717224,132600
2024-11-25,0.9020000100135803,0.9100000262260437,0.8100000023841858,0.8149999976158142,234400
2024-11-26,0.9300000071525574,0.949999988079071,0.8830000162124634,0.9100000262260437,109400
